"Artist_Name","Album_Title","Genre","Composer","Track_Name","Track_Price","InvoiceId","Invoice_Price","SR_ID","SR_firstname","SR_LastName","SR_title","SR_City","SR_state","SR_Country","CustomerId","Customer_FirstName","Customer_LastName","Customer_City","Customer_State","Customer_Country"
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",For Those About To Rock (We Salute You),0.99,108,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,47,Lucas,Mancini,Rome,RM,Italy
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Put The Finger On You,0.99,2,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,4,Bjørn,Hansen,Oslo,,Norway
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Let's Get It Up,0.99,,,,,,,,,,,,,,,
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Inject The Venom,0.99,2,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,4,Bjørn,Hansen,Oslo,,Norway
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Inject The Venom,0.99,214,0.99,3,Jane,Jane,Sales Support Agent,Calgary,AB,Canada,33,Ellie,Sullivan,Yellowknife,NT,Canada
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Snowballed,0.99,108,0.99,5,Steve,Steve,Sales Support Agent,Calgary,AB,Canada,47,Lucas,Mancini,Rome,RM,Italy
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Snowballed,0.99,319,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,13,Fernanda,Ramos,Brasília,DF,Brazil
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Evil Walks,0.99,2,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,4,Bjørn,Hansen,Oslo,,Norway
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",C.O.D.,0.99,,,,,,,,,,,,,,,
AC/DC,For Those About To Rock We Salute You,Rock,"Angus Young, Malcolm Young, Brian Johnson",Breaking The Rules,0.99,2,0.99,4,Margaret,Margaret,Sales Support Agent,Calgary,AB,Canada,4,Bjørn,Hansen,Oslo,,Norway
